template_id,pattern,pattern_nomal,sample_log,version,is_active,semantic_info,advise,created_at,updated_at,source
2814,"^zhibo bydscene input output batch: [-+]?(?:\d+.\d*|.\d+|\d+) [-+]?(?:\d+.\d*|.\d+|\d+) logits snow: (?:[-+]?(?:\d+.\d*|.\d+|\d+), )+[-+]?(?:\d+.\d*|.\d+|\d+)$","^zhibo bydscene input output batch: NUMNUM NUMNUM logits snow: (?:NUMNUM, )+NUMNUM$","zhibo bydscene input output batch: NUMNUM NUMNUM logits snow: NUMNUM, NUMNUM, NUMNUM",1,1,直播场景下BYD场景模型的输入输出批次及logits信息,,2025/12/6 18:31,2025/12/6 18:31,langchain
2770,"^zhenzhou bydscene batch_sz:[-+]?(?:\d+.\d*|.\d+|\d+) [-+]?(?:\d+.\d*|.\d+|\d+) wall output:[-+]?(?:\d+.\d*|.\d+|\d+), [-+]?(?:\d+.\d*|.\d+|\d+)$","^zhenzhou bydscene batch_sz:NUMNUM NUMNUM wall output:NUMNUM, NUMNUM$","zhenzhou bydscene batch_sz:NUMNUM NUMNUM wall output:NUMNUM, NUMNUM",1,1,郑州比亚迪场景批处理及 wall 输出信息,,2025/12/6 18:29,2025/12/6 18:29,langchain
2756,^yaw (?:diff|max_tolerance|find valid flag|min_update_value) [-+]?(?:\d+.\d*|.\d+|\d+)\(tid:[-+]?(?:\d+.\d*|.\d+|\d+)\)$,^yaw (?:diff|max_tolerance|find valid flag|min_update_value) NUMNUM\(tid:NUMNUM\)$,yaw diff NUMNUM(tid:NUMNUM),1,1,航向角相关状态或数值报告,,2025/12/6 18:29,2025/12/6 18:29,langchain
1126,^X: thr1\([-+]?(?:\d+.\d*|.\d+|\d+)\) thr2\([-+]?(?:\d+.\d*|.\d+|\d+)\) Y: thr1\([-+]?(?:\d+.\d*|.\d+|\d+)\) thr2\([-+]?(?:\d+.\d*|.\d+|\d+)\) Z: thr1\([-+]?(?:\d+.\d*|.\d+|\d+)\) thr2\([-+]?(?:\d+.\d*|.\d+|\d+)\)\(tid:[-+]?(?:\d+.\d*|.\d+|\d+)\)$,^X: thr1\(NUMNUM\) thr2\(NUMNUM\) Y: thr1\(NUMNUM\) thr2\(NUMNUM\) Z: thr1\(NUMNUM\) thr2\(NUMNUM\)\(tid:NUMNUM\)$,X: thr1(NUMNUM) thr2(NUMNUM) Y: thr1(NUMNUM) thr2(NUMNUM) Z: thr1(NUMNUM) thr2(NUMNUM)(tid:NUMNUM),1,1,记录X、Y、Z三个方向的线程阈值信息,,2025/12/6 17:07,2025/12/6 17:07,langchain
2753,^write_point [-+]?(?:\d+.\d*|.\d+|\d+)$,^write_point NUMNUM$,write_point NUMNUM,1,1,写入点坐标信息,,2025/12/6 18:29,2025/12/6 18:29,langchain
2762,"^write opt data strategy item is invalid, st_id=[-+]?(?:\d+.\d*|.\d+|\d+)$","^write opt data strategy item is invalid, st_id=NUMNUM$","write opt data strategy item is invalid, st_id=NUMNUM",1,1,写入优化数据策略项无效,检查优化数据策略配置及 st_id 参数,2025/12/6 18:29,2025/12/6 18:29,langchain
2769,^without initial path left/center/right status: [-+]?(?:\d+.\d*|.\d+|\d+)/[-+]?(?:\d+.\d*|.\d+|\d+)/[-+]?(?:\d+.\d*|.\d+|\d+)$,^without initial path left/center/right status: NUMNUM/NUMNUM/NUMNUM$,without initial path left/center/right status: NUMNUM/NUMNUM/NUMNUM,1,1,无初始路径时左/中/右道状态,,2025/12/6 18:29,2025/12/6 18:29,langchain
1125,^WebsocketProxy Publish to websocket:[-+]?(?:\d+.\d*|.\d+|\d+)  identifier = [A-Za-z0-9]+ size: [-+]?(?:\d+.\d*|.\d+|\d+) count: [-+]?(?:\d+.\d*|.\d+|\d+)$,^WebsocketProxy Publish to websocket:NUMNUM  identifier = [A-Za-z0-9]+ size: NUMNUM count: NUMNUM$,WebsocketProxy Publish to websocket:NUMNUM  identifier = DmmAsEvt size: NUMNUM count: NUMNUM,1,1,WebSocket代理发布特定标识符的消息,,2025/12/6 17:07,2025/12/6 17:07,langchain
2755,^wall_logits_value used$,^wall_logits_value used$,wall_logits_value used,1,1,使用了 wall_logits_value 参数,,2025/12/6 18:29,2025/12/6 18:29,langchain
1128,^Waiting for data frame \.(\.\.)?\(scdiagkn_impl\.cpp:[-+]?(?:\d+.\d*|.\d+|\d+)\)\(tid:[-+]?(?:\d+.\d*|.\d+|\d+)\)$,^Waiting for data frame \.(\.\.)?\(scdiagkn_impl\.cpp:NUMNUM\)\(tid:NUMNUM\)$,Waiting for data frame ...(scdiagkn_impl.cpp:NUMNUM)(tid:NUMNUM),1,1,系统等待数据帧输入,检查上游数据源是否正常工作，确保数据帧按时到达,2025/12/6 17:08,2025/12/6 17:08,langchain
